14:16:33.749 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_sanfermin_sanfermin.htm: null
14:16:39.858 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_devotionals.htm: null
14:16:40.052 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_holalapoyana_atinycollection.htm: null
14:16:40.554 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_richardbuckner.htm: null
14:16:49.452 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_theatreroyal_wedontknowwhereweare.htm: null
14:16:49.693 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_blackkeys.htm: null
14:16:51.596 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_radicaldads_rapidreality.htm: null
14:16:54.158 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_hissgoldenmessenger_poormoon.htm: null
14:17:01.211 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_villagers_darlingarithmetic.htm: null
14:17:20.009 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_goldmotel.htm: null
14:17:22.597 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_wovenhand_thelaughingstalk.htm: null
14:17:35.269 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_leisuresociety.htm: null
14:17:37.567 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_stornoway_bonxie.htm: null
14:17:42.196 INFO  org.phonoteke.AbstractCrawler - Document http://www.ondarock.it/recensioni/2015_littlewings_explains.htm added into DOCUMENT
14:17:42.666 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_owen.htm: null
14:17:46.563 INFO  org.phonoteke.AbstractCrawler - Document http://www.ondarock.it/recensioni/2015_catenarywires_redredskies.htm added into DOCUMENT
14:17:51.929 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_dylanleblanc_castthesameoldshadow.htm: null
14:18:05.597 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_sacricuori_rosario.htm: null
14:18:15.247 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_aabondy.htm: null
14:18:15.758 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_realestate.htm: null
